gc 1 @0.016s 1%: 0.012+2.3+0.001 ms clock, 0.012+0.35/0/0+0.001 ms cpu, 4->4->1 MB, 5 MB goal, 1 P
gc 2 @0.029s 2%: 0.014+3.8+0.001 ms clock, 0.014+0.38/0/0+0.001 ms cpu, 4->4->0 MB, 5 MB goal, 1 P
gc 3 @0.045s 2%: 0.035+2.2+0.001 ms clock, 0.035+0.45/0/0+0.001 ms cpu, 4->4->0 MB, 5 MB goal, 1 P
gc 4 @0.057s 3%: 0.033+3.4+0.001 ms clock, 0.033+0.78/0/0+0.001 ms cpu, 4->4->1 MB, 5 MB goal, 1 P
gc 5 @0.071s 4%: 0.048+5.6+0.001 ms clock, 0.048+1.2/0/0+0.001 ms cpu, 4->4->1 MB, 5 MB goal, 1 P
gc 6 @0.120s 3%: 0.035+2.8+0.001 ms clock, 0.035+1.1/0/0+0.001 ms cpu, 4->5->2 MB, 5 MB goal, 1 P
gc 7 @0.127s 4%: 0.021+3.1+0.004 ms clock, 0.021+0.78/0/0+0.004 ms cpu, 4->5->2 MB, 5 MB goal, 1 P
gc 8 @0.132s 4%: 0.017+1.7+0.001 ms clock, 0.017+0.76/0/0+0.001 ms cpu, 4->5->2 MB, 5 MB goal, 1 P
gc 9 @0.137s 5%: 0.012+3.7+0.001 ms clock, 0.012+0.96/0/0+0.001 ms cpu, 4->5->2 MB, 5 MB goal, 1 P
gc 10 @0.142s 5%: 0.015+3.2+0.001 ms clock, 0.015+0.82/0/0+0.001 ms cpu, 4->5->2 MB, 5 MB goal, 1 P
# command-line-arguments
gc 1 @0.001s 35%: 0.009+3.0+0.002 ms clock, 0.009+1.5/0/0+0.002 ms cpu, 4->6->5 MB, 5 MB goal, 1 P
gc 2 @0.007s 11%: 0.007+21+0.001 ms clock, 0.007+0.35/1.4/0+0.001 ms cpu, 10->11->10 MB, 11 MB goal, 1 P
gc 3 @0.072s 7%: 0.040+8.6+0.001 ms clock, 0.040+0.13/2.3/0+0.001 ms cpu, 17->17->10 MB, 20 MB goal, 1 P
gc 1 @0.009s 8%: 0.013+13+0.002 ms clock, 0.013+2.0/0/0+0.002 ms cpu, 4->5->4 MB, 5 MB goal, 1 P
gc 2 @0.023s 14%: 0.004+14+0.002 ms clock, 0.004+0.16/3.2/0+0.002 ms cpu, 7->8->6 MB, 8 MB goal, 1 P
gc 3 @0.048s 13%: 0.011+34+0.002 ms clock, 0.011+0.12/5.9/0+0.002 ms cpu, 15->16->14 MB, 16 MB goal, 1 P
